Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.262,0.006,0.48%,29 Sep 2021
1.256,-0.015,-1.18%,28 Sep 2021
1.271,-0.005,-0.39%,27 Sep 2021
1.276,-0.005,-0.39%,24 Sep 2021
1.281,0.006,0.47%,23 Sep 2021
1.275,0.006,0.47%,22 Sep 2021
1.269,0.008,0.63%,21 Sep 2021
1.261,-0.018,-1.41%,20 Sep 2021
1.279,-0.009,-0.70%,17 Sep 2021
1.288,0.000,0.00%,16 Sep 2021
1.288,-0.008,-0.62%,15 Sep 2021
1.296,-0.001,-0.08%,14 Sep 2021
1.297,0.002,0.15%,13 Sep 2021
1.295,-0.006,-0.46%,10 Sep 2021
1.301,-0.004,-0.31%,09 Sep 2021
1.305,-0.006,-0.46%,08 Sep 2021
1.311,-0.006,-0.46%,07 Sep 2021
1.317,0.006,0.46%,06 Sep 2021
1.311,-0.001,-0.08%,03 Sep 2021
1.312,0.000,0.00%,02 Sep 2021
1.312,0.001,0.08%,01 Sep 2021
1.311,-0.003,-0.23%,31 Aug 2021
1.314,0.001,0.08%,30 Aug 2021
1.313,0.003,0.23%,27 Aug 2021
1.31,-0.003,-0.23%,26 Aug 2021
1.313,-0.001,-0.08%,25 Aug 2021
1.314,-0.003,-0.23%,24 Aug 2021
1.317,0.003,0.23%,23 Aug 2021
1.314,0.005,0.38%,20 Aug 2021
1.309,-0.004,-0.30%,19 Aug 2021
1.313,0.000,0.00%,18 Aug 2021
1.313,0.001,0.08%,17 Aug 2021
1.312,-0.003,-0.23%,16 Aug 2021
1.315,0.003,0.23%,13 Aug 2021
1.312,0.002,0.15%,12 Aug 2021
1.31,0.009,0.69%,11 Aug 2021
1.301,0.002,0.15%,10 Aug 2021
1.299,0.005,0.39%,09 Aug 2021
1.294,0.001,0.08%,06 Aug 2021
1.293,0.000,0.00%,05 Aug 2021
1.293,0.002,0.15%,04 Aug 2021
1.291,0.002,0.16%,03 Aug 2021
1.289,-0.002,-0.15%,02 Aug 2021
1.291,-0.003,-0.23%,30 Jul 2021
1.294,0.005,0.39%,29 Jul 2021
1.289,0.002,0.16%,28 Jul 2021
1.287,-0.005,-0.39%,27 Jul 2021
1.292,-0.003,-0.23%,26 Jul 2021
1.295,0.008,0.62%,23 Jul 2021
1.287,0.000,0.00%,22 Jul 2021
1.287,0.007,0.55%,21 Jul 2021
1.28,0.009,0.71%,20 Jul 2021
1.271,-0.019,-1.47%,19 Jul 2021
1.29,0.002,0.16%,16 Jul 2021
1.288,-0.006,-0.46%,15 Jul 2021
1.294,-0.005,-0.38%,14 Jul 2021
1.299,0.003,0.23%,13 Jul 2021
1.296,0.008,0.62%,12 Jul 2021
1.288,0.012,0.94%,09 Jul 2021
1.276,-0.015,-1.16%,08 Jul 2021
1.291,0.009,0.70%,07 Jul 2021
1.282,-0.004,-0.31%,06 Jul 2021
1.286,0.002,0.16%,05 Jul 2021
1.284,0.004,0.31%,02 Jul 2021
1.28,0.003,0.23%,01 Jul 2021
1.277,-0.007,-0.55%,30 Jun 2021
1.284,-0.002,-0.16%,29 Jun 2021
1.286,0.002,0.16%,28 Jun 2021
1.284,0.004,0.31%,25 Jun 2021
1.28,0.005,0.39%,24 Jun 2021
1.275,-0.008,-0.62%,23 Jun 2021
1.283,0.004,0.31%,22 Jun 2021
1.279,0.009,0.71%,21 Jun 2021
1.27,-0.017,-1.32%,18 Jun 2021
1.287,-0.004,-0.31%,17 Jun 2021
1.291,0.006,0.47%,16 Jun 2021
1.285,0.006,0.47%,15 Jun 2021
1.279,0.001,0.08%,14 Jun 2021
1.278,0.003,0.24%,11 Jun 2021
1.275,0.000,0.00%,10 Jun 2021
1.275,0.002,0.16%,09 Jun 2021
1.273,0.001,0.08%,08 Jun 2021
1.272,-0.001,-0.08%,07 Jun 2021
1.273,0.002,0.16%,04 Jun 2021
1.271,0.004,0.32%,03 Jun 2021
1.267,0.002,0.16%,02 Jun 2021
1.265,0.000,0.00%,01 Jun 2021
1.265,-0.007,-0.55%,31 May 2021
1.272,0.004,0.32%,28 May 2021
1.268,-0.004,-0.31%,27 May 2021
1.272,-0.001,-0.08%,26 May 2021
1.273,-0.003,-0.24%,25 May 2021
1.276,0.001,0.08%,24 May 2021
1.275,0.002,0.16%,21 May 2021
1.273,0.015,1.19%,20 May 2021
1.258,-0.014,-1.10%,19 May 2021
1.272,0.000,0.00%,18 May 2021
1.272,-0.003,-0.24%,17 May 2021
1.275,0.015,1.19%,14 May 2021
1.26,0.004,0.32%,13 May 2021
1.256,-0.002,-0.16%,12 May 2021
1.258,-0.022,-1.72%,11 May 2021
1.28,0.003,0.23%,10 May 2021
1.277,0.008,0.63%,07 May 2021
1.269,0.008,0.63%,06 May 2021
1.261,0.015,1.20%,05 May 2021
1.246,-0.010,-0.80%,04 May 2021
1.256,0.006,0.48%,03 May 2021
1.25,-0.002,-0.16%,30 Apr 2021
1.252,-0.001,-0.08%,29 Apr 2021
1.253,-0.006,-0.48%,28 Apr 2021
1.259,-0.006,-0.47%,27 Apr 2021
1.265,-0.005,-0.39%,26 Apr 2021
1.27,-0.003,-0.24%,23 Apr 2021
1.273,0.001,0.08%,22 Apr 2021
1.272,0.005,0.39%,21 Apr 2021
1.267,-0.011,-0.86%,20 Apr 2021
1.278,-0.002,-0.16%,19 Apr 2021
1.28,0.008,0.63%,16 Apr 2021
1.272,0.006,0.47%,15 Apr 2021
1.266,-0.002,-0.16%,14 Apr 2021
1.268,-0.004,-0.31%,13 Apr 2021
1.272,-0.002,-0.16%,12 Apr 2021
1.274,0.002,0.16%,09 Apr 2021
1.272,0.007,0.55%,08 Apr 2021
1.265,-0.003,-0.24%,07 Apr 2021
1.268,-0.012,-0.94%,06 Apr 2021
1.28,0.022,1.75%,05 Apr 2021
1.258,0.002,0.16%,02 Apr 2021
1.256,0.001,0.08%,01 Apr 2021
1.255,-0.001,-0.08%,31 Mar 2021
1.256,-0.001,-0.08%,30 Mar 2021
1.257,0.009,0.72%,29 Mar 2021
1.248,0.014,1.13%,26 Mar 2021
1.234,0.002,0.16%,25 Mar 2021
1.232,-0.002,-0.16%,24 Mar 2021
1.234,0.001,0.08%,23 Mar 2021
1.233,0.005,0.41%,22 Mar 2021
1.228,-0.002,-0.16%,19 Mar 2021
1.23,0.003,0.24%,18 Mar 2021
1.227,-0.006,-0.49%,17 Mar 2021
1.233,0.011,0.90%,16 Mar 2021
1.222,0.002,0.16%,15 Mar 2021
1.22,-0.004,-0.33%,12 Mar 2021
1.224,0.003,0.25%,11 Mar 2021
1.221,0.005,0.41%,10 Mar 2021
1.216,0.008,0.66%,09 Mar 2021
1.208,0.023,1.94%,08 Mar 2021
1.185,-0.006,-0.50%,05 Mar 2021
1.191,-0.001,-0.08%,04 Mar 2021
1.192,-0.003,-0.25%,03 Mar 2021
1.195,0.000,0.00%,02 Mar 2021
1.195,0.013,1.10%,01 Mar 2021
