Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
12.33,0.00,0.00%,06 Jul 2022
12.33,0.13,1.07%,05 Jul 2022
12.2,0.14,1.16%,01 Jul 2022
12.06,-0.08,-0.66%,30 Jun 2022
12.14,0.10,0.83%,29 Jun 2022
12.04,-0.15,-1.23%,28 Jun 2022
12.19,-0.05,-0.41%,27 Jun 2022
12.24,0.17,1.41%,24 Jun 2022
12.07,0.11,0.92%,23 Jun 2022
11.96,0.05,0.42%,22 Jun 2022
11.91,0.13,1.10%,21 Jun 2022
11.78,0.07,0.60%,17 Jun 2022
11.71,-0.23,-1.93%,16 Jun 2022
11.94,0.09,0.76%,15 Jun 2022
11.85,-0.06,-0.50%,14 Jun 2022
11.91,-0.26,-2.14%,13 Jun 2022
12.17,-0.23,-1.85%,10 Jun 2022
12.4,-0.10,-0.80%,09 Jun 2022
12.5,-0.07,-0.56%,08 Jun 2022
12.57,0.04,0.32%,07 Jun 2022
12.53,-0.01,-0.08%,06 Jun 2022
12.54,-0.08,-0.63%,03 Jun 2022
12.62,0.13,1.04%,02 Jun 2022
12.49,-0.03,-0.24%,01 Jun 2022
12.52,-0.05,-0.40%,31 May 2022
12.57,0.15,1.21%,27 May 2022
12.42,0.15,1.22%,26 May 2022
12.27,0.12,0.99%,25 May 2022
12.15,-0.06,-0.49%,24 May 2022
12.21,0.06,0.49%,23 May 2022
12.15,0.00,0.00%,20 May 2022
12.15,-0.13,-1.06%,19 May 2022
12.28,-0.23,-1.84%,18 May 2022
12.51,0.06,0.48%,17 May 2022
12.45,-0.03,-0.24%,16 May 2022
12.48,0.12,0.97%,13 May 2022
12.36,0.06,0.49%,12 May 2022
12.3,-0.11,-0.89%,11 May 2022
12.41,0.05,0.40%,10 May 2022
12.36,-0.18,-1.44%,09 May 2022
12.54,-0.06,-0.48%,06 May 2022
12.6,-0.26,-2.02%,05 May 2022
12.86,0.16,1.26%,04 May 2022
12.7,-0.01,-0.08%,03 May 2022
12.71,0.05,0.39%,02 May 2022
12.66,-0.36,-2.76%,29 Apr 2022
13.02,0.24,1.88%,28 Apr 2022
12.78,0.04,0.31%,27 Apr 2022
12.74,-0.16,-1.24%,26 Apr 2022
12.9,0.13,1.02%,25 Apr 2022
12.77,-0.18,-1.39%,22 Apr 2022
12.95,-0.15,-1.15%,21 Apr 2022
13.1,-0.02,-0.15%,20 Apr 2022
13.12,0.17,1.31%,19 Apr 2022
12.95,0.04,0.31%,18 Apr 2022
12.91,-0.19,-1.45%,14 Apr 2022
13.1,0.09,0.69%,13 Apr 2022
13.01,-0.04,-0.31%,12 Apr 2022
13.05,-0.16,-1.21%,11 Apr 2022
13.21,-0.05,-0.38%,08 Apr 2022
13.26,0.05,0.38%,07 Apr 2022
13.21,-0.11,-0.83%,06 Apr 2022
13.32,-0.12,-0.89%,05 Apr 2022
13.44,0.06,0.45%,04 Apr 2022
13.38,0.03,0.22%,01 Apr 2022
13.35,-0.12,-0.89%,31 Mar 2022
13.47,-0.07,-0.52%,30 Mar 2022
13.54,0.08,0.59%,29 Mar 2022
13.46,0.10,0.75%,28 Mar 2022
13.36,-0.01,-0.07%,25 Mar 2022
13.37,0.10,0.75%,24 Mar 2022
13.27,-0.10,-0.75%,23 Mar 2022
13.37,0.07,0.53%,22 Mar 2022
13.3,-0.05,-0.37%,21 Mar 2022
13.35,0.15,1.14%,18 Mar 2022
13.2,0.06,0.46%,17 Mar 2022
13.14,0.14,1.08%,16 Mar 2022
13.0,0.20,1.56%,15 Mar 2022
12.8,-0.08,-0.62%,14 Mar 2022
12.88,-0.07,-0.54%,11 Mar 2022
12.95,-0.06,-0.46%,10 Mar 2022
13.01,0.18,1.40%,09 Mar 2022
12.83,-0.08,-0.62%,08 Mar 2022
12.91,-0.31,-2.34%,07 Mar 2022
13.22,-0.04,-0.30%,04 Mar 2022
13.26,-0.02,-0.15%,03 Mar 2022
13.28,0.05,0.38%,02 Mar 2022
13.23,-0.10,-0.75%,01 Mar 2022
13.33,0.04,0.30%,28 Feb 2022
13.29,0.15,1.14%,25 Feb 2022
13.14,0.24,1.86%,24 Feb 2022
12.9,-0.17,-1.30%,23 Feb 2022
13.07,-0.09,-0.68%,22 Feb 2022
13.16,-0.04,-0.30%,18 Feb 2022
13.2,-0.18,-1.35%,17 Feb 2022
13.38,-0.01,-0.07%,16 Feb 2022
13.39,0.10,0.75%,15 Feb 2022
13.29,-0.02,-0.15%,14 Feb 2022
13.31,-0.17,-1.26%,11 Feb 2022
13.48,-0.18,-1.32%,10 Feb 2022
13.66,0.11,0.81%,09 Feb 2022
