Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
315.04,1.98,0.63%,16 Dec 2024
313.06,0.54,0.17%,13 Dec 2024
312.52,-1.43,-0.46%,12 Dec 2024
313.95,5.23,1.69%,11 Dec 2024
308.72,-1.17,-0.38%,10 Dec 2024
309.89,-2.92,-0.93%,09 Dec 2024
312.81,3.68,1.19%,06 Dec 2024
309.13,-2.77,-0.89%,05 Dec 2024
311.9,3.30,1.07%,04 Dec 2024
308.6,1.98,0.65%,03 Dec 2024
306.62,4.11,1.36%,02 Dec 2024
302.51,1.78,0.59%,29 Nov 2024
300.73,-3.17,-1.04%,27 Nov 2024
303.9,2.61,0.87%,26 Nov 2024
301.29,0.47,0.16%,25 Nov 2024
300.82,1.03,0.34%,22 Nov 2024
299.79,2.10,0.71%,21 Nov 2024
297.69,0.87,0.29%,20 Nov 2024
296.82,2.03,0.69%,19 Nov 2024
294.79,-0.22,-0.07%,18 Nov 2024
295.01,-9.10,-2.99%,15 Nov 2024
304.11,-1.01,-0.33%,14 Nov 2024
305.12,1.01,0.33%,13 Nov 2024
304.11,1.39,0.46%,12 Nov 2024
302.72,0.47,0.16%,11 Nov 2024
302.25,1.87,0.62%,08 Nov 2024
300.38,1.70,0.57%,07 Nov 2024
298.68,10.36,3.59%,06 Nov 2024
288.32,2.58,0.90%,05 Nov 2024
285.74,3.04,1.08%,04 Nov 2024
282.7,-7.39,-2.55%,31 Oct 2024
290.09,-1.72,-0.59%,30 Oct 2024
291.81,2.97,1.03%,29 Oct 2024
288.84,0.31,0.11%,28 Oct 2024
288.53,1.91,0.67%,25 Oct 2024
286.62,-0.26,-0.09%,24 Oct 2024
286.88,-2.61,-0.90%,23 Oct 2024
289.49,-0.04,-0.01%,22 Oct 2024
289.53,1.45,0.50%,21 Oct 2024
288.08,1.02,0.36%,18 Oct 2024
287.06,0.09,0.03%,17 Oct 2024
286.97,1.74,0.61%,16 Oct 2024
285.23,-4.07,-1.41%,15 Oct 2024
289.3,3.12,1.09%,14 Oct 2024
286.18,1.35,0.47%,11 Oct 2024
284.83,-0.22,-0.08%,10 Oct 2024
285.05,2.93,1.04%,09 Oct 2024
282.12,4.30,1.55%,08 Oct 2024
277.82,-2.95,-1.05%,07 Oct 2024
280.77,3.97,1.43%,04 Oct 2024
276.8,1.09,0.40%,03 Oct 2024
275.71,1.13,0.41%,02 Oct 2024
274.58,-1.94,-0.70%,01 Oct 2024
276.52,1.41,0.51%,30 Sep 2024
275.11,-2.31,-0.83%,27 Sep 2024
277.42,-0.27,-0.10%,26 Sep 2024
277.69,1.37,0.50%,25 Sep 2024
276.32,-0.62,-0.22%,24 Sep 2024
276.94,0.76,0.28%,23 Sep 2024
276.18,-1.64,-0.59%,20 Sep 2024
277.82,4.11,1.50%,19 Sep 2024
273.71,-1.26,-0.46%,18 Sep 2024
274.97,0.60,0.22%,17 Sep 2024
274.37,-0.70,-0.25%,16 Sep 2024
275.07,0.94,0.34%,13 Sep 2024
274.13,2.23,0.82%,12 Sep 2024
271.9,5.08,1.90%,11 Sep 2024
266.82,1.59,0.60%,10 Sep 2024
265.23,4.39,1.68%,09 Sep 2024
260.84,-4.47,-1.68%,06 Sep 2024
265.31,-1.69,-0.63%,05 Sep 2024
267.0,-1.54,-0.57%,04 Sep 2024
268.54,-6.89,-2.50%,03 Sep 2024
275.43,3.53,1.30%,30 Aug 2024
271.9,-0.58,-0.21%,29 Aug 2024
272.48,-1.86,-0.68%,28 Aug 2024
274.34,0.29,0.11%,27 Aug 2024
274.05,-0.98,-0.36%,26 Aug 2024
275.03,0.34,0.12%,23 Aug 2024
274.69,-2.54,-0.92%,22 Aug 2024
277.23,2.04,0.74%,21 Aug 2024
