Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.9851,0.0429,0.43%,01 Mar 2023
9.9422,0.0192,0.19%,28 Feb 2023
9.923,-0.0752,-0.75%,27 Feb 2023
9.9982,0.0903,0.91%,24 Feb 2023
9.9079,0.0576,0.58%,23 Feb 2023
9.8503,-0.1018,-1.02%,22 Feb 2023
9.9521,0.0345,0.35%,21 Feb 2023
9.9176,-0.0311,-0.31%,20 Feb 2023
9.9487,-0.0562,-0.56%,17 Feb 2023
10.0049,0.0275,0.28%,16 Feb 2023
9.9774,0.1081,1.10%,15 Feb 2023
9.8693,0.0027,0.03%,14 Feb 2023
9.8666,-0.0779,-0.78%,13 Feb 2023
9.9445,0.0755,0.77%,10 Feb 2023
9.869,-0.0478,-0.48%,09 Feb 2023
9.9168,0.0359,0.36%,08 Feb 2023
9.8809,-0.0292,-0.29%,07 Feb 2023
9.9101,0.2020,2.08%,03 Feb 2023
9.7081,-0.0462,-0.47%,02 Feb 2023
9.7543,-0.0248,-0.25%,01 Feb 2023
9.7791,0.0384,0.39%,31 Jan 2023
9.7407,0.0460,0.47%,30 Jan 2023
9.6947,-0.1248,-1.27%,27 Jan 2023
9.8195,-0.1626,-1.63%,25 Jan 2023
9.9821,-0.0458,-0.46%,20 Jan 2023
10.0279,0.0092,0.09%,19 Jan 2023
10.0187,0.0407,0.41%,18 Jan 2023
9.978,0.0273,0.27%,17 Jan 2023
9.9507,-0.0493,-0.49%,16 Jan 2023
10.0,0.0225,0.23%,13 Jan 2023
9.9775,-0.0283,-0.28%,12 Jan 2023
10.0058,-0.0010,-0.01%,11 Jan 2023
10.0068,0.0526,0.53%,10 Jan 2023
9.9542,0.0140,0.14%,09 Jan 2023
9.9402,-0.1014,-1.01%,06 Jan 2023
10.0416,0.0843,0.85%,05 Jan 2023
9.9573,-0.0621,-0.62%,04 Jan 2023
10.0194,0.0269,0.27%,03 Jan 2023
9.9925,-0.0188,-0.19%,30 Dec 2022
10.0113,0.1543,1.57%,29 Dec 2022
9.857,-0.1984,-1.97%,23 Dec 2022
10.0554,-0.0447,-0.44%,22 Dec 2022
10.1001,-0.1170,-1.15%,21 Dec 2022
10.2171,-0.1045,-1.01%,20 Dec 2022
10.3216,0.0795,0.78%,19 Dec 2022
10.2421,-0.0402,-0.39%,16 Dec 2022
10.2823,0.0022,0.02%,15 Dec 2022
10.2801,0.0224,0.22%,14 Dec 2022
10.2577,-0.0918,-0.89%,13 Dec 2022
10.3495,-0.0306,-0.29%,12 Dec 2022
10.3801,0.0019,0.02%,09 Dec 2022
10.3782,0.0188,0.18%,08 Dec 2022
10.3594,-0.0128,-0.12%,07 Dec 2022
10.3722,-0.0611,-0.59%,06 Dec 2022
10.4333,-0.0828,-0.79%,05 Dec 2022
10.5161,-0.0233,-0.22%,02 Dec 2022
10.5394,-0.1092,-1.03%,01 Dec 2022
10.6486,0.1012,0.96%,30 Nov 2022
10.5474,-0.0160,-0.15%,29 Nov 2022
10.5634,0.0575,0.55%,28 Nov 2022
10.5059,0.0110,0.10%,25 Nov 2022
10.4949,0.0824,0.79%,24 Nov 2022
10.4125,-0.0190,-0.18%,23 Nov 2022
10.4315,-0.0064,-0.06%,22 Nov 2022
10.4379,0.0374,0.36%,21 Nov 2022
10.4005,-0.0023,-0.02%,18 Nov 2022
10.4028,-0.0360,-0.34%,17 Nov 2022
10.4388,-0.0551,-0.53%,16 Nov 2022
10.4939,0.0512,0.49%,15 Nov 2022
10.4427,-0.0717,-0.68%,14 Nov 2022
10.5144,0.0929,0.89%,11 Nov 2022
10.4215,-0.1606,-1.52%,10 Nov 2022
10.5821,-0.0376,-0.35%,09 Nov 2022
10.6197,0.0321,0.30%,07 Nov 2022
10.5876,-0.0579,-0.54%,04 Nov 2022
10.6455,0.0269,0.25%,03 Nov 2022
10.6186,-0.0551,-0.52%,02 Nov 2022
10.6737,0.1427,1.36%,01 Nov 2022
10.531,0.0012,0.01%,28 Oct 2022
10.5298,-0.0015,-0.01%,27 Oct 2022
10.5313,0.0211,0.20%,21 Oct 2022
10.5102,-0.0274,-0.26%,20 Oct 2022
10.5376,-0.0640,-0.60%,19 Oct 2022
10.6016,0.0510,0.48%,18 Oct 2022
10.5506,0.0170,0.16%,17 Oct 2022
10.5336,-0.0232,-0.22%,14 Oct 2022
10.5568,-0.0821,-0.77%,13 Oct 2022
10.6389,0.1079,1.02%,12 Oct 2022
10.531,-0.1644,-1.54%,11 Oct 2022
10.6954,0.0340,0.32%,10 Oct 2022
10.6614,-0.0192,-0.18%,07 Oct 2022
10.6806,-0.0270,-0.25%,06 Oct 2022
10.7076,0.1634,1.55%,04 Oct 2022
10.5442,-0.2039,-1.90%,03 Oct 2022
10.7481,0.1497,1.41%,30 Sep 2022
10.5984,0.0439,0.42%,29 Sep 2022
10.5545,-0.0676,-0.64%,28 Sep 2022
10.6221,0.1030,0.98%,27 Sep 2022
10.5191,-0.2180,-2.03%,26 Sep 2022
10.7371,-0.1462,-1.34%,23 Sep 2022
10.8833,-0.1155,-1.05%,22 Sep 2022
10.9988,-0.0375,-0.34%,21 Sep 2022
11.0363,0.1325,1.22%,20 Sep 2022
10.9038,0.0643,0.59%,19 Sep 2022
10.8395,-0.2704,-2.43%,16 Sep 2022
11.1099,-0.0228,-0.20%,15 Sep 2022
11.1327,-0.0385,-0.34%,14 Sep 2022
11.1712,0.1350,1.22%,13 Sep 2022
11.0362,0.0272,0.25%,12 Sep 2022
11.009,-0.0361,-0.33%,09 Sep 2022
11.0451,0.0959,0.88%,08 Sep 2022
10.9492,0.0504,0.46%,07 Sep 2022
10.8988,-0.0572,-0.52%,06 Sep 2022
10.956,0.0845,0.78%,05 Sep 2022
10.8715,-0.0785,-0.72%,02 Sep 2022
