Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.134,0.0000,0.00%,19 Feb 2025
1.134,0.0001,0.01%,18 Feb 2025
1.1339,0.0003,0.03%,17 Feb 2025
1.1336,0.0001,0.01%,14 Feb 2025
1.1335,0.0001,0.01%,13 Feb 2025
1.1334,0.0001,0.01%,12 Feb 2025
1.1333,0.0001,0.01%,11 Feb 2025
1.1332,0.0003,0.03%,10 Feb 2025
1.1329,0.0001,0.01%,07 Feb 2025
1.1328,0.0001,0.01%,06 Feb 2025
1.1327,0.0001,0.01%,05 Feb 2025
1.1326,0.0001,0.01%,04 Feb 2025
1.1325,0.0004,0.04%,03 Feb 2025
1.1321,0.0002,0.02%,31 Jan 2025
1.1319,0.0002,0.02%,28 Jan 2025
1.1317,0.0002,0.02%,27 Jan 2025
1.1315,0.0002,0.02%,24 Jan 2025
1.1313,0.0000,0.00%,23 Jan 2025
1.1313,0.0001,0.01%,22 Jan 2025
1.1312,0.0000,0.00%,21 Jan 2025
1.1312,0.0003,0.03%,20 Jan 2025
1.1309,0.0001,0.01%,17 Jan 2025
1.1308,0.0001,0.01%,16 Jan 2025
1.1307,0.0001,0.01%,15 Jan 2025
1.1306,0.0001,0.01%,14 Jan 2025
1.1305,0.0003,0.03%,13 Jan 2025
1.1302,0.0001,0.01%,10 Jan 2025
1.1301,0.0000,0.00%,09 Jan 2025
1.1301,0.0001,0.01%,08 Jan 2025
1.13,0.0001,0.01%,07 Jan 2025
1.1299,0.0002,0.02%,06 Jan 2025
1.1297,0.0001,0.01%,03 Jan 2025
1.1296,0.0001,0.01%,02 Jan 2025
1.1295,0.0001,0.01%,31 Dec 2024
1.1294,0.0004,0.04%,30 Dec 2024
1.129,0.0000,0.00%,27 Dec 2024
1.129,0.0002,0.02%,26 Dec 2024
1.1288,0.0001,0.01%,24 Dec 2024
1.1287,0.0003,0.03%,23 Dec 2024
1.1284,0.0000,0.00%,20 Dec 2024
1.1284,0.0001,0.01%,19 Dec 2024
1.1283,0.0001,0.01%,18 Dec 2024
1.1282,0.0000,0.00%,17 Dec 2024
1.1282,0.0003,0.03%,16 Dec 2024
1.1279,0.0001,0.01%,13 Dec 2024
1.1278,0.0001,0.01%,12 Dec 2024
1.1277,0.0002,0.02%,11 Dec 2024
1.1275,0.0001,0.01%,10 Dec 2024
1.1274,0.0003,0.03%,09 Dec 2024
1.1271,0.0001,0.01%,06 Dec 2024
1.127,0.0000,0.00%,05 Dec 2024
1.127,0.0001,0.01%,04 Dec 2024
1.1269,0.0001,0.01%,03 Dec 2024
1.1268,0.0002,0.02%,02 Dec 2024
1.1266,0.0001,0.01%,29 Nov 2024
1.1265,0.0001,0.01%,28 Nov 2024
1.1264,0.0001,0.01%,27 Nov 2024
1.1263,0.0001,0.01%,26 Nov 2024
1.1262,0.0002,0.02%,25 Nov 2024
1.126,0.0002,0.02%,22 Nov 2024
1.1258,0.0000,0.00%,21 Nov 2024
1.1258,0.0001,0.01%,20 Nov 2024
1.1257,0.0001,0.01%,19 Nov 2024
1.1256,0.0003,0.03%,18 Nov 2024
1.1253,0.0001,0.01%,15 Nov 2024
1.1252,0.0002,0.02%,14 Nov 2024
1.125,0.0001,0.01%,13 Nov 2024
1.1249,0.0001,0.01%,12 Nov 2024
1.1248,0.0003,0.03%,11 Nov 2024
1.1245,0.0001,0.01%,08 Nov 2024
1.1244,0.0002,0.02%,07 Nov 2024
1.1242,0.0002,0.02%,06 Nov 2024
1.124,0.0001,0.01%,05 Nov 2024
1.1239,0.0002,0.02%,04 Nov 2024
1.1237,0.0002,0.02%,01 Nov 2024
1.1235,0.0001,0.01%,30 Oct 2024
1.1234,0.0001,0.01%,29 Oct 2024
1.1233,0.0002,0.02%,28 Oct 2024
1.1231,0.0001,0.01%,25 Oct 2024
1.123,0.0001,0.01%,24 Oct 2024
1.1229,0.0001,0.01%,23 Oct 2024
1.1228,0.0000,0.00%,22 Oct 2024
1.1228,0.0004,0.04%,21 Oct 2024
1.1224,0.0001,0.01%,18 Oct 2024
1.1223,0.0000,0.00%,17 Oct 2024
1.1223,0.0001,0.01%,16 Oct 2024
1.1222,0.0002,0.02%,15 Oct 2024
1.122,0.0003,0.03%,14 Oct 2024
1.1217,0.0002,0.02%,11 Oct 2024
1.1215,0.0001,0.01%,10 Oct 2024
1.1214,0.0000,0.00%,09 Oct 2024
1.1214,0.0002,0.02%,08 Oct 2024
1.1212,0.0003,0.03%,07 Oct 2024
1.1209,0.0000,0.00%,04 Oct 2024
1.1209,0.0000,0.00%,03 Oct 2024
1.1209,0.0001,0.01%,02 Oct 2024
1.1208,0.0001,0.01%,01 Oct 2024
1.1207,0.0003,0.03%,30 Sep 2024
1.1204,0.0002,0.02%,27 Sep 2024
1.1202,0.0002,0.02%,26 Sep 2024
1.12,0.0000,0.00%,25 Sep 2024
1.12,0.0001,0.01%,24 Sep 2024
1.1199,0.0002,0.02%,23 Sep 2024
1.1197,0.0001,0.01%,20 Sep 2024
1.1196,0.0002,0.02%,19 Sep 2024
1.1194,0.0001,0.01%,18 Sep 2024
1.1193,0.0001,0.01%,17 Sep 2024
1.1192,0.0004,0.04%,16 Sep 2024
1.1188,0.0001,0.01%,13 Sep 2024
1.1187,0.0001,0.01%,12 Sep 2024
1.1186,0.0001,0.01%,11 Sep 2024
1.1185,0.0001,0.01%,10 Sep 2024
1.1184,0.0003,0.03%,09 Sep 2024
1.1181,0.0002,0.02%,06 Sep 2024
1.1179,0.0001,0.01%,05 Sep 2024
1.1178,0.0001,0.01%,04 Sep 2024
1.1177,0.0000,0.00%,03 Sep 2024
1.1177,0.0003,0.03%,02 Sep 2024
1.1174,0.0002,0.02%,30 Aug 2024
1.1172,0.0000,0.00%,29 Aug 2024
1.1172,0.0001,0.01%,28 Aug 2024
1.1171,0.0001,0.01%,27 Aug 2024
1.117,0.0003,0.03%,26 Aug 2024
1.1167,0.0002,0.02%,23 Aug 2024
1.1165,0.0001,0.01%,22 Aug 2024
1.1164,0.0001,0.01%,21 Aug 2024
1.1163,0.0002,0.02%,20 Aug 2024
1.1161,0.0003,0.03%,19 Aug 2024
1.1158,0.0001,0.01%,16 Aug 2024
1.1157,0.0002,0.02%,15 Aug 2024
1.1155,0.0000,0.00%,14 Aug 2024
1.1155,0.0000,0.00%,13 Aug 2024
1.1155,0.0005,0.04%,12 Aug 2024
1.115,0.0002,0.02%,08 Aug 2024
1.1148,0.0000,0.00%,07 Aug 2024
1.1148,0.0001,0.01%,06 Aug 2024
1.1147,0.0003,0.03%,05 Aug 2024
1.1144,0.0000,0.00%,02 Aug 2024
1.1144,0.0001,0.01%,01 Aug 2024
1.1143,0.0001,0.01%,31 Jul 2024
1.1142,0.0001,0.01%,30 Jul 2024
1.1141,0.0003,0.03%,29 Jul 2024
1.1138,0.0002,0.02%,26 Jul 2024
1.1136,0.0002,0.02%,25 Jul 2024
1.1134,0.0002,0.02%,24 Jul 2024
1.1132,0.0002,0.02%,23 Jul 2024
1.113,0.0002,0.02%,22 Jul 2024
1.1128,0.0003,0.03%,19 Jul 2024
1.1125,0.0001,0.01%,18 Jul 2024
1.1124,0.0001,0.01%,17 Jul 2024
1.1123,0.0001,0.01%,16 Jul 2024
1.1122,0.0004,0.04%,15 Jul 2024
1.1118,0.0001,0.01%,12 Jul 2024
1.1117,0.0001,0.01%,11 Jul 2024
1.1116,0.0001,0.01%,10 Jul 2024
1.1115,0.0001,0.01%,09 Jul 2024
1.1114,0.0004,0.04%,08 Jul 2024
1.111,0.0001,0.01%,05 Jul 2024
1.1109,0.0000,0.00%,04 Jul 2024
1.1109,0.0002,0.02%,03 Jul 2024
1.1107,0.0001,0.01%,02 Jul 2024
1.1106,0.0002,0.02%,01 Jul 2024
1.1104,0.0002,0.02%,28 Jun 2024
1.1102,0.0001,0.01%,27 Jun 2024
1.1101,0.0002,0.02%,26 Jun 2024
1.1099,0.0000,0.00%,25 Jun 2024
1.1099,0.0004,0.04%,24 Jun 2024
1.1095,0.0001,0.01%,21 Jun 2024
1.1094,0.0001,0.01%,20 Jun 2024
1.1093,0.0001,0.01%,19 Jun 2024
1.1092,0.0005,0.05%,18 Jun 2024
1.1087,0.0002,0.02%,14 Jun 2024
1.1085,0.0000,0.00%,13 Jun 2024
1.1085,0.0001,0.01%,12 Jun 2024
