Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.262,-0.002,-0.16%,13 Nov 2024
1.264,-0.005,-0.39%,12 Nov 2024
1.269,0.001,0.08%,11 Nov 2024
1.268,0.002,0.16%,08 Nov 2024
1.266,0.002,0.16%,07 Nov 2024
1.264,0.004,0.32%,06 Nov 2024
1.26,0.002,0.16%,05 Nov 2024
1.258,-0.002,-0.16%,04 Nov 2024
1.26,-0.004,-0.32%,01 Nov 2024
1.264,-0.001,-0.08%,30 Oct 2024
1.265,0.001,0.08%,29 Oct 2024
1.264,0.000,0.00%,28 Oct 2024
1.264,0.002,0.16%,25 Oct 2024
1.262,0.000,0.00%,24 Oct 2024
1.262,0.000,0.00%,23 Oct 2024
1.262,-0.003,-0.24%,22 Oct 2024
1.265,-0.001,-0.08%,21 Oct 2024
1.266,0.000,0.00%,18 Oct 2024
1.266,0.001,0.08%,17 Oct 2024
1.265,-0.001,-0.08%,16 Oct 2024
1.266,0.000,0.00%,15 Oct 2024
1.266,0.002,0.16%,14 Oct 2024
1.264,0.003,0.24%,11 Oct 2024
1.261,0.001,0.08%,10 Oct 2024
1.26,0.001,0.08%,09 Oct 2024
1.259,-0.004,-0.32%,08 Oct 2024
1.263,-0.002,-0.16%,07 Oct 2024
1.265,0.001,0.08%,04 Oct 2024
1.264,-0.001,-0.08%,03 Oct 2024
1.265,0.002,0.16%,02 Oct 2024
1.263,0.001,0.08%,01 Oct 2024
1.262,-0.002,-0.16%,30 Sep 2024
1.264,0.002,0.16%,27 Sep 2024
1.262,0.005,0.40%,26 Sep 2024
1.257,0.001,0.08%,25 Sep 2024
1.256,0.001,0.08%,24 Sep 2024
1.255,-0.001,-0.08%,23 Sep 2024
1.256,-0.001,-0.08%,20 Sep 2024
1.257,0.005,0.40%,19 Sep 2024
1.252,-0.002,-0.16%,18 Sep 2024
1.254,0.002,0.16%,17 Sep 2024
1.252,0.001,0.08%,16 Sep 2024
1.251,0.003,0.24%,13 Sep 2024
1.248,0.006,0.48%,12 Sep 2024
1.242,0.001,0.08%,11 Sep 2024
1.241,0.001,0.08%,10 Sep 2024
1.24,0.001,0.08%,09 Sep 2024
1.239,-0.001,-0.08%,06 Sep 2024
1.24,0.000,0.00%,05 Sep 2024
1.24,-0.005,-0.40%,04 Sep 2024
1.245,-0.002,-0.16%,03 Sep 2024
1.247,0.001,0.08%,02 Sep 2024
1.246,0.001,0.08%,30 Aug 2024
1.245,0.001,0.08%,29 Aug 2024
1.244,0.000,0.00%,28 Aug 2024
1.244,-0.001,-0.08%,27 Aug 2024
1.245,0.001,0.08%,26 Aug 2024
1.244,0.001,0.08%,23 Aug 2024
1.243,0.001,0.08%,22 Aug 2024
1.242,0.002,0.16%,21 Aug 2024
1.24,0.001,0.08%,20 Aug 2024
1.239,0.001,0.08%,19 Aug 2024
1.238,0.003,0.24%,16 Aug 2024
1.235,0.004,0.32%,15 Aug 2024
1.231,0.002,0.16%,14 Aug 2024
1.229,0.004,0.33%,13 Aug 2024
1.225,0.005,0.41%,12 Aug 2024
1.22,-0.001,-0.08%,08 Aug 2024
1.221,0.002,0.16%,07 Aug 2024
1.219,0.004,0.33%,06 Aug 2024
1.215,-0.010,-0.82%,05 Aug 2024
1.225,-0.010,-0.81%,02 Aug 2024
1.235,-0.003,-0.24%,01 Aug 2024
1.238,0.005,0.41%,31 Jul 2024
1.233,0.000,0.00%,30 Jul 2024
1.233,0.003,0.24%,29 Jul 2024
1.23,0.000,0.00%,26 Jul 2024
1.23,-0.003,-0.24%,25 Jul 2024
1.233,-0.004,-0.32%,24 Jul 2024
1.237,0.002,0.16%,23 Jul 2024
1.235,0.001,0.08%,22 Jul 2024
1.234,-0.005,-0.40%,19 Jul 2024
1.239,-0.004,-0.32%,18 Jul 2024
1.243,-0.002,-0.16%,17 Jul 2024
1.245,0.001,0.08%,16 Jul 2024
1.244,0.000,0.00%,15 Jul 2024
1.244,0.003,0.24%,12 Jul 2024
1.241,0.003,0.24%,11 Jul 2024
1.238,0.002,0.16%,10 Jul 2024
1.236,0.000,0.00%,09 Jul 2024
1.236,0.000,0.00%,08 Jul 2024
1.236,0.001,0.08%,05 Jul 2024
1.235,0.003,0.24%,04 Jul 2024
1.232,0.004,0.33%,03 Jul 2024
1.228,-0.001,-0.08%,02 Jul 2024
1.229,0.000,0.00%,01 Jul 2024
1.229,0.001,0.08%,28 Jun 2024
1.228,-0.001,-0.08%,27 Jun 2024
1.229,-0.001,-0.08%,26 Jun 2024
1.23,0.001,0.08%,25 Jun 2024
1.229,0.000,0.00%,24 Jun 2024
1.229,-0.003,-0.24%,21 Jun 2024
1.232,0.001,0.08%,20 Jun 2024
1.231,0.002,0.16%,19 Jun 2024
1.229,0.003,0.24%,18 Jun 2024
1.226,0.000,0.00%,14 Jun 2024
1.226,0.000,0.00%,13 Jun 2024
1.226,0.003,0.25%,12 Jun 2024
1.223,-0.002,-0.16%,11 Jun 2024
1.225,-0.001,-0.08%,10 Jun 2024
1.226,-0.001,-0.08%,07 Jun 2024
1.227,0.002,0.16%,06 Jun 2024
1.225,0.004,0.33%,05 Jun 2024
1.221,-0.001,-0.08%,04 Jun 2024
1.222,0.005,0.41%,03 Jun 2024
1.217,0.001,0.08%,31 May 2024
1.216,-0.002,-0.16%,30 May 2024
1.218,-0.005,-0.41%,29 May 2024
1.223,0.000,0.00%,28 May 2024
1.223,0.002,0.16%,27 May 2024
1.221,-0.002,-0.16%,24 May 2024
1.223,0.000,0.00%,23 May 2024
1.223,-0.002,-0.16%,21 May 2024
1.225,0.002,0.16%,20 May 2024
1.223,-0.001,-0.08%,17 May 2024
1.224,0.004,0.33%,16 May 2024
1.22,0.004,0.33%,15 May 2024
1.216,0.001,0.08%,14 May 2024
1.215,-0.001,-0.08%,13 May 2024
1.216,0.004,0.33%,10 May 2024
1.212,0.000,0.00%,09 May 2024
1.212,-0.001,-0.08%,08 May 2024
1.213,0.004,0.33%,07 May 2024
1.209,0.005,0.42%,06 May 2024
1.204,0.003,0.25%,03 May 2024
1.201,0.000,0.00%,02 May 2024
1.201,-0.001,-0.08%,30 Apr 2024
1.202,0.001,0.08%,29 Apr 2024
1.201,0.003,0.25%,26 Apr 2024
