Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.2693,-0.0007,-0.01%,21 Jun 2024
9.27,0.0039,0.04%,20 Jun 2024
9.2661,-0.0003,0.00%,18 Jun 2024
9.2664,-0.0408,-0.44%,17 Jun 2024
9.3072,-0.0032,-0.03%,14 Jun 2024
9.3104,-0.0005,-0.01%,13 Jun 2024
9.3109,-0.0016,-0.02%,12 Jun 2024
9.3125,0.0045,0.05%,11 Jun 2024
9.308,0.0033,0.04%,10 Jun 2024
9.3047,0.0002,0.00%,07 Jun 2024
9.3045,-0.0003,0.00%,06 Jun 2024
9.3048,-0.0004,0.00%,05 Jun 2024
9.3052,-0.0017,-0.02%,04 Jun 2024
9.3069,0.0074,0.08%,03 Jun 2024
9.2995,0.0014,0.02%,31 May 2024
9.2981,0.0027,0.03%,30 May 2024
9.2954,0.0007,0.01%,29 May 2024
9.2947,0.0051,0.05%,28 May 2024
9.2896,0.0019,0.02%,24 May 2024
9.2877,0.0011,0.01%,23 May 2024
9.2866,-0.0008,-0.01%,22 May 2024
9.2874,0.0047,0.05%,21 May 2024
9.2827,-0.0002,0.00%,17 May 2024
9.2829,0.0012,0.01%,16 May 2024
9.2817,-0.0364,-0.39%,15 May 2024
9.3181,0.0010,0.01%,14 May 2024
9.3171,0.0030,0.03%,13 May 2024
9.3141,0.0018,0.02%,10 May 2024
9.3123,-0.0003,0.00%,08 May 2024
9.3126,0.0091,0.10%,07 May 2024
9.3035,0.0024,0.03%,03 May 2024
9.3011,0.0039,0.04%,02 May 2024
9.2972,0.0010,0.01%,30 Apr 2024
9.2962,0.0053,0.06%,29 Apr 2024
9.2909,-0.0001,0.00%,26 Apr 2024
9.291,0.0036,0.04%,25 Apr 2024
9.2874,0.0039,0.04%,24 Apr 2024
9.2835,0.0053,0.06%,23 Apr 2024
9.2782,-0.0030,-0.03%,22 Apr 2024
9.2812,0.0017,0.02%,19 Apr 2024
9.2795,0.0003,0.00%,18 Apr 2024
9.2792,-0.0013,-0.01%,17 Apr 2024
9.2805,0.0009,0.01%,16 Apr 2024
9.2796,-0.0414,-0.44%,15 Apr 2024
9.321,0.0030,0.03%,12 Apr 2024
9.318,0.0000,0.00%,11 Apr 2024
9.318,0.0006,0.01%,10 Apr 2024
9.3174,0.0051,0.05%,09 Apr 2024
9.3123,-0.0015,-0.02%,08 Apr 2024
9.3138,-0.0004,0.00%,05 Apr 2024
9.3142,0.0025,0.03%,04 Apr 2024
9.3117,0.0000,0.00%,03 Apr 2024
9.3117,0.0077,0.08%,02 Apr 2024
9.304,0.0021,0.02%,28 Mar 2024
9.3019,-0.0011,-0.01%,27 Mar 2024
9.303,0.0021,0.02%,26 Mar 2024
9.3009,-0.0010,-0.01%,25 Mar 2024
9.3019,0.0032,0.03%,22 Mar 2024
9.2987,-0.0014,-0.02%,21 Mar 2024
9.3001,0.0021,0.02%,20 Mar 2024
9.298,0.0034,0.04%,19 Mar 2024
9.2946,0.0026,0.03%,18 Mar 2024
9.292,-0.0344,-0.37%,15 Mar 2024
9.3264,0.0039,0.04%,14 Mar 2024
9.3225,0.0029,0.03%,13 Mar 2024
9.3196,0.0022,0.02%,12 Mar 2024
9.3174,0.0037,0.04%,11 Mar 2024
9.3137,0.0012,0.01%,08 Mar 2024
9.3125,0.0040,0.04%,07 Mar 2024
9.3085,-0.0034,-0.04%,06 Mar 2024
9.3119,0.0041,0.04%,05 Mar 2024
9.3078,0.0024,0.03%,04 Mar 2024
9.3054,0.0058,0.06%,01 Mar 2024
9.2996,-0.0058,-0.06%,29 Feb 2024
9.3054,-0.0028,-0.03%,28 Feb 2024
9.3082,0.0018,0.02%,27 Feb 2024
9.3064,0.0034,0.04%,26 Feb 2024
9.303,0.0049,0.05%,23 Feb 2024
9.2981,0.0037,0.04%,22 Feb 2024
9.2944,0.0003,0.00%,21 Feb 2024
9.2941,0.0106,0.11%,20 Feb 2024
9.2835,0.0016,0.02%,16 Feb 2024
9.2819,-0.0368,-0.39%,15 Feb 2024
9.3187,0.0054,0.06%,14 Feb 2024
9.3133,0.0015,0.02%,13 Feb 2024
9.3118,0.0065,0.07%,12 Feb 2024
9.3053,0.0021,0.02%,09 Feb 2024
9.3032,0.0002,0.00%,08 Feb 2024
9.303,0.0017,0.02%,07 Feb 2024
9.3013,0.0091,0.10%,06 Feb 2024
9.2922,0.0029,0.03%,05 Feb 2024
9.2893,0.0013,0.01%,02 Feb 2024
9.288,-0.0058,-0.06%,01 Feb 2024
9.2938,0.0035,0.04%,31 Jan 2024
9.2903,-0.0011,-0.01%,30 Jan 2024
9.2914,0.0054,0.06%,29 Jan 2024
9.286,0.0076,0.08%,26 Jan 2024
9.2784,0.0040,0.04%,25 Jan 2024
9.2744,0.0051,0.06%,24 Jan 2024
9.2693,-0.0005,-0.01%,23 Jan 2024
9.2698,0.0031,0.03%,22 Jan 2024
9.2667,0.0052,0.06%,19 Jan 2024
9.2615,0.0021,0.02%,18 Jan 2024
9.2594,-0.0133,-0.14%,17 Jan 2024
9.2727,-0.0222,-0.24%,16 Jan 2024
9.2949,0.0048,0.05%,12 Jan 2024
9.2901,-0.0114,-0.12%,11 Jan 2024
9.3015,0.0243,0.26%,10 Jan 2024
9.2772,0.0032,0.03%,09 Jan 2024
9.274,0.0102,0.11%,08 Jan 2024
9.2638,-0.0009,-0.01%,05 Jan 2024
9.2647,-0.0051,-0.06%,04 Jan 2024
