Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
96.96,-1.19,-1.21%,2024-09-03
98.15,-0.36,-0.37%,2024-08-30
98.51,1.03,1.06%,2024-08-29
97.48,0.11,0.11%,2024-08-28
97.37,-1.62,-1.64%,2024-08-27
98.99,-0.11,-0.11%,2024-08-26
99.1,-1.54,-1.53%,2024-08-23
100.64,0.86,0.86%,2024-08-22
99.78,-0.33,-0.33%,2024-08-21
100.11,1.98,2.02%,2024-08-20
98.13,-0.35,-0.36%,2024-08-19
98.48,0.14,0.14%,2024-08-16
98.34,3.36,3.54%,2024-08-15
94.98,0.33,0.35%,2024-08-14
94.65,1.66,1.79%,2024-08-13
92.99,0.88,0.96%,2024-08-12
92.11,1.95,2.16%,2024-08-09
90.16,-1.92,-2.09%,2024-08-08
92.08,2.88,3.23%,2024-08-07
89.2,2.69,3.11%,2024-08-06
86.51,-3.92,-4.33%,2024-08-05
90.43,-9.29,-9.32%,2024-08-02
99.72,1.10,1.12%,2024-08-01
98.62,0.11,0.11%,2024-07-31
98.51,-1.70,-1.70%,2024-07-30
100.21,1.13,1.14%,2024-07-29
99.08,1.67,1.71%,2024-07-26
97.41,-3.62,-3.58%,2024-07-25
101.03,-2.98,-2.87%,2024-07-24
104.01,1.14,1.11%,2024-07-23
102.87,0.36,0.35%,2024-07-22
102.51,-1.44,-1.39%,2024-07-19
103.95,-1.63,-1.54%,2024-07-18
105.58,-3.04,-2.80%,2024-07-17
108.62,0.02,0.02%,2024-07-16
108.6,0.69,0.64%,2024-07-15
107.91,-1.90,-1.73%,2024-07-12
109.81,0.20,0.18%,2024-07-11
109.61,-0.65,-0.59%,2024-07-10
110.26,0.40,0.36%,2024-07-09
109.86,0.37,0.34%,2024-07-08
109.49,1.33,1.23%,2024-07-05
108.16,1.11,1.04%,2024-07-03
107.05,-0.53,-0.49%,2024-07-02
107.58,1.14,1.07%,2024-06-28
106.44,0.66,0.62%,2024-06-27
105.78,1.80,1.73%,2024-06-26
103.98,-0.53,-0.51%,2024-06-25
104.51,0.20,0.19%,2024-06-24
104.31,-2.40,-2.25%,2024-06-21
106.71,0.74,0.70%,2024-06-20
105.97,1.46,1.40%,2024-06-18
