Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.41,0.12,1.29%,20 Mar 2020
9.29,-0.29,-3.03%,19 Mar 2020
9.58,-0.49,-4.87%,18 Mar 2020
10.07,0.09,0.90%,17 Mar 2020
9.98,-0.86,-7.93%,16 Mar 2020
10.84,0.42,4.03%,13 Mar 2020
10.42,-0.89,-7.87%,12 Mar 2020
11.31,-0.34,-2.92%,11 Mar 2020
11.65,0.24,2.10%,10 Mar 2020
11.41,-0.73,-6.01%,09 Mar 2020
12.14,-0.20,-1.62%,06 Mar 2020
12.34,-0.13,-1.04%,05 Mar 2020
12.47,0.22,1.80%,04 Mar 2020
12.25,-0.06,-0.49%,03 Mar 2020
12.31,0.18,1.48%,02 Mar 2020
12.13,-0.19,-1.54%,28 Feb 2020
12.32,-0.16,-1.28%,27 Feb 2020
12.48,-0.01,-0.08%,26 Feb 2020
12.49,-0.07,-0.56%,25 Feb 2020
12.56,-0.33,-2.56%,24 Feb 2020
12.89,-0.05,-0.39%,21 Feb 2020
12.94,-0.10,-0.77%,20 Feb 2020
13.04,0.12,0.93%,19 Feb 2020
12.92,-0.11,-0.84%,18 Feb 2020
13.03,0.00,0.00%,14 Feb 2020
13.03,-0.04,-0.31%,13 Feb 2020
13.07,0.10,0.77%,12 Feb 2020
12.97,0.09,0.70%,11 Feb 2020
12.88,0.01,0.08%,10 Feb 2020
12.87,-0.09,-0.69%,07 Feb 2020
12.96,0.08,0.62%,06 Feb 2020
12.88,0.04,0.31%,05 Feb 2020
12.84,0.22,1.74%,04 Feb 2020
12.62,0.04,0.32%,03 Feb 2020
12.58,-0.20,-1.56%,31 Jan 2020
12.78,-0.17,-1.31%,30 Jan 2020
12.95,0.00,0.00%,29 Jan 2020
12.95,0.05,0.39%,28 Jan 2020
12.9,-0.21,-1.60%,27 Jan 2020
13.11,-0.07,-0.53%,24 Jan 2020
13.18,-0.11,-0.83%,23 Jan 2020
13.29,0.06,0.45%,22 Jan 2020
13.23,-0.19,-1.42%,21 Jan 2020
13.42,0.06,0.45%,17 Jan 2020
13.36,0.05,0.38%,16 Jan 2020
13.31,0.00,0.00%,15 Jan 2020
13.31,-0.07,-0.52%,14 Jan 2020
13.38,0.15,1.13%,13 Jan 2020
13.23,0.04,0.30%,10 Jan 2020
13.19,0.18,1.38%,09 Jan 2020
13.01,-0.04,-0.31%,08 Jan 2020
13.05,0.01,0.08%,07 Jan 2020
13.04,-0.03,-0.23%,06 Jan 2020
13.07,-0.14,-1.06%,03 Jan 2020
13.21,0.17,1.30%,02 Jan 2020
13.04,-0.04,-0.31%,31 Dec 2019
13.08,-0.03,-0.23%,30 Dec 2019
13.11,0.12,0.92%,27 Dec 2019
12.99,-0.01,-0.08%,24 Dec 2019
13.0,0.04,0.31%,23 Dec 2019
12.96,-0.01,-0.08%,20 Dec 2019
